# z,P-Patm (0.0013 mL/min),P-Patm (0.013 mL/min)
0.000000,3928.718958,3971.189576
0.100000,3928.691200,3970.911995
0.200000,3928.663441,3970.634415
0.300000,3928.635683,3970.356834
0.400000,3928.607925,3970.079253
0.500000,3928.580167,3969.801673
0.600000,3928.552409,3969.524092
0.700000,3928.524651,3969.246511
0.800000,3928.496893,3968.968931
0.900000,3928.469135,3968.691350
1.000000,3928.441377,3968.413769
1.100000,3928.413619,3968.136189
1.200000,3928.385861,3967.858608
1.300000,3928.358103,3967.581027
1.400000,3928.330345,3967.303447
1.500000,3928.302587,3967.025866
1.600000,3928.274829,3966.748285
1.700000,3928.247070,3966.470705
1.800000,3928.219312,3966.193124
1.900000,3928.191554,3965.915543
2.000000,3928.163796,3965.637963
2.100000,3928.136038,3965.360382
2.200000,3928.108280,3965.082801
2.300000,3928.080522,3964.805221
2.400000,3928.052764,3964.527640
2.500000,3928.025006,3964.250059
2.600000,3927.997248,3963.972479
2.700000,3927.969490,3963.694898
2.800000,3927.941732,3963.417317
2.900000,3927.913974,3963.139737
3.000000,3927.886216,3962.862156
3.100000,3927.858458,3962.584575
3.200000,3927.830699,3962.306995
3.300000,3927.802941,3962.029414
3.400000,3927.775183,3961.751833
3.500000,3927.747425,3961.474253
3.600000,3927.719667,3961.196672
3.700000,3927.691909,3960.919091
3.800000,3927.664151,3960.641510
3.900000,3927.636393,3960.363930
4.000000,3927.608635,3960.086349
4.100000,3927.580877,3959.808768
4.200000,3927.553119,3959.531188
4.300000,3927.525361,3959.253607
4.400000,3927.497603,3958.976026
4.500000,3927.469845,3958.698446
4.600000,3927.442087,3958.420865
4.700000,3927.414328,3958.143284
4.800000,3927.386570,3957.865704
4.900000,3927.358812,3957.588123
5.000000,3927.331054,3957.310542
5.100000,3927.303296,3957.032962
5.200000,3927.275538,3956.755381
5.300000,3927.247780,3956.477800
5.400000,3927.220022,3956.200220
5.500000,3927.192264,3955.922639
5.600000,3927.164506,3955.645058
5.700000,3927.136748,3955.367478
5.800000,3927.108990,3955.089897
5.900000,3927.081232,3954.812316
6.000000,3927.053474,3954.534736
6.100000,3927.025716,3954.257155
6.200000,3926.997957,3953.979574
6.300000,3926.970199,3953.701994
6.400000,3926.942441,3953.424413
6.500000,3926.914683,3953.146832
6.600000,3926.886925,3952.869252
6.700000,3926.859167,3952.591671
6.800000,3926.831409,3952.314090
6.900000,3926.803651,3952.036510
7.000000,3926.775893,3951.758929
7.100000,3926.748135,3951.481348
7.200000,3926.720377,3951.203768
7.300000,3926.692619,3950.926187
7.400000,3926.664861,3950.648606
7.500000,3926.637103,3950.371026
7.600000,3926.609345,3950.093445
7.700000,3926.581586,3949.815864
7.800000,3926.553828,3949.538284
7.900000,3926.526070,3949.260703
8.000000,3926.498312,3948.983122
8.100000,3926.470554,3948.705542
8.200000,3926.442796,3948.427961
8.300000,3926.415038,3948.150380
8.400000,3926.387280,3947.872800
8.500000,3926.359522,3947.595219
8.600000,3926.331764,3947.317638
8.700000,3926.304006,3947.040058
8.800000,3926.276248,3946.762477
8.900000,3926.248490,3946.484896
9.000000,3926.220732,3946.207316
9.100000,3926.192973,3945.929735
9.200000,3926.165215,3945.652154
9.300000,3926.137457,3945.374574
9.400000,3926.109699,3945.096993
9.500000,3926.081941,3944.819412
9.600000,3926.054183,3944.541832
9.700000,3926.026425,3944.264251
9.800000,3925.998667,3943.986670
9.900000,3925.970909,3943.709090
10.000000,3925.943151,3943.431509
10.100000,3925.915393,3943.153928
10.200000,3925.887635,3942.876348
10.300000,3925.859877,3942.598767
10.400000,3925.832119,3942.321186
10.500000,3925.804361,3942.043606
10.600000,3925.776602,3941.766025
10.700000,3925.748844,3941.488444
10.800000,3925.721086,3941.210864
10.900000,3925.693328,3940.933283
11.000000,3925.665570,3940.655702
11.100000,3925.637812,3940.378122
11.200000,3925.610054,3940.100541
11.300000,3925.582296,3939.822960
11.400000,3925.554538,3939.545380
11.500000,3925.526780,3939.267799
11.600000,3925.499022,3938.990218
11.700000,3925.471264,3938.712638
11.800000,3925.443506,3938.435057
11.900000,3925.415748,3938.157476
12.000000,3925.387990,3937.879896
12.100000,3925.360231,3937.602315
12.200000,3925.332473,3937.324734
12.300000,3925.304715,3937.047154
12.400000,3925.276957,3936.769573
12.500000,3925.249199,3936.491992
12.600000,3925.221441,3936.214412
12.700000,3925.193683,3935.936831
12.800000,3925.165925,3935.659250
12.900000,3925.138167,3935.381670
13.000000,3925.110409,3935.104089
13.100000,3925.082651,3934.826508
13.200000,3925.054893,3934.548928
13.300000,3925.027135,3934.271347
13.400000,3924.999377,3933.993766
13.500000,3924.971619,3933.716186
13.600000,3924.943860,3933.438605
13.700000,3924.916102,3933.161024
13.800000,3924.888344,3932.883444
13.900000,3924.860586,3932.605863
14.000000,3924.832828,3932.328282
14.100000,3924.805070,3932.050702
14.200000,3924.777312,3931.773121
14.300000,3924.749554,3931.495540
14.400000,3924.721796,3931.217960
14.500000,3924.694038,3930.940379
14.600000,3924.666280,3930.662798
14.700000,3924.638522,3930.385217
14.800000,3924.610764,3930.107637
14.900000,3924.583006,3929.830056
15.000000,3924.555248,3929.552475
15.100000,3924.527489,3929.274895
15.200000,3924.499731,3928.997314
15.300000,3924.471973,3928.719733
15.400000,3924.444215,3928.442153
15.500000,3924.416457,3928.164572
15.600000,3924.388699,3927.886991
15.700000,3924.360941,3927.609411
15.800000,3924.333183,3927.331830
15.900000,3924.305425,3927.054249
16.000000,3924.277667,3926.776669
16.100000,3924.249909,3926.499088
16.200000,3924.222151,3926.221507
16.300000,3924.194393,3925.943927
16.400000,3924.166635,3925.666346
16.500000,3924.138877,3925.388765
16.600000,3924.111118,3925.111185
16.700000,3924.083360,3924.833604
16.800000,3924.055602,3924.556023
16.900000,3924.027844,3924.278443
17.000000,3924.000086,3924.000862
